Section,Subsection,Information,Source,,
Application Process,How to Apply,Step 1: Complete the online application form available on the ONU website. Step 2: Submit your high school transcripts. Step 3: Provide ACT or SAT scores. Step 4: Write a personal essay. Step 5: Submit letters of recommendation.,https://www.olivet.edu/apply/,,
Application Process,Application Deadlines,Fall semester deadline: July 15. Spring semester deadline: November 1. Summer semester deadline: April 15.,https://www.olivet.edu/apply/,,
Application Process,International Students,"International students must provide proof of English proficiency (TOEFL/IELTS scores), financial support documentation, and must complete a separate application process for international students.",https://www.olivet.edu/apply/international,,
Application Process,Transfer Students,"Transfer students must submit official transcripts from all previously attended institutions, meet with an academic advisor, and complete a credit evaluation process.",https://www.olivet.edu/apply/transfer,,
Academics,Colleges & Schools,"The College of Arts & Sciences offers programs in humanities, social sciences, and natural sciences. The School of Education focuses on teacher preparation and educational leadership. The McGraw School of Business provides courses in business administration, accounting, and economics. The Walker School of STEM covers science, technology, engineering, and mathematics fields. The College of Professional Studies includes programs in criminal justice, social work, and family and consumer sciences. The School of Nursing offers undergraduate and graduate nursing programs. The School of Music provides music education, performance, and ministry programs. The School of Theology & Christian Ministry offers degrees in pastoral ministry, theology, and Christian education.",https://www.olivet.edu/academics/colleges-schools,,
Academics,Specific Programs,"The EdD in Ethical Leadership is a doctoral program designed for professionals seeking to lead with integrity and ethical decision-making skills. It includes coursework in leadership theory, ethics, and organizational development.",https://www.olivet.edu/edd-ethical-leadership,,
Academics,Accreditations,"ONU is accredited by the Higher Learning Commission (HLC). Specific programs have additional accreditations such as the Accreditation Commission for Education in Nursing (ACEN) for nursing programs, the Council for the Accreditation of Educator Preparation (CAEP) for education programs, and the Accreditation Council for Business Schools and Programs (ACBSP) for business programs.",https://www.olivet.edu/accreditations,,
Academics,Departments,"College of Arts & Sciences: Departments include English, History, Mathematics, and more. School of Education: Departments include Early Childhood Education, Elementary Education, Secondary Education, and Special Education. McGraw School of Business: Departments include Accounting, Finance, Marketing, and Management. Walker School of STEM: Departments include Biology, Chemistry, Computer Science, Engineering, and Mathematics. College of Professional Studies: Departments include Criminal Justice, Social Work, and Family and Consumer Sciences. School of Nursing: Departments include Undergraduate Nursing and Graduate Nursing. School of Music: Departments include Music Education, Performance, and Ministry. School of Theology & Christian Ministry: Departments include Pastoral Ministry, Theology, and Christian Education.",https://www.olivet.edu/academics/colleges-schools,,
Academics,Undergraduate Majors,"Majors offered include Accounting, Art, Athletic Training, Biology, Business Administration, Chemistry, Child Development, Christian Education, Communication, Computer Science, Criminal Justice, Early Childhood Education, Elementary Education, Engineering, English, Environmental Science, Exercise Science, Family and Consumer Sciences, Finance, History, Intercultural Studies, Journalism, Marketing, Mathematics, Music Education, Nursing, Pastoral Ministry, Political Science, Psychology, Public Relations, Social Work, Sociology, Spanish, Special Education, Sports Management, Theatre, and Theology.",https://www.olivet.edu/academics/undergraduate-majors,,
Academics,Graduate Programs,"Graduate programs include MBA, MS in Nursing, MA in Education, EdD in Ethical Leadership, and more.",https://www.olivet.edu/academics/graduate-programs,,
Admissions & Aid,Financial Aid Options,"Scholarships: Academic scholarships, athletic scholarships, and departmental scholarships. Grants: Federal Pell Grants, state grants, and institutional grants. Loans: Federal student loans and private loans. Work-study programs are also available.",https://www.olivet.edu/aid,,
Admissions & Aid,Types of Scholarships,Academic Scholarships: Awarded based on academic achievement. Athletic Scholarships: Awarded to student-athletes. Departmental Scholarships: Awarded by specific departments based on criteria like major or academic performance.,https://www.olivet.edu/scholarships,,
Admissions & Aid,Financial Aid Process,Step 1: Complete the FAFSA. Step 2: Submit any required financial documents. Step 3: Review your financial aid award letter. Step 4: Accept or decline your financial aid package. Step 5: Complete any additional requirements such as entrance counseling for loans.,https://www.olivet.edu/financial-aid-process,,
Admissions & Aid,Campus Visits,Information on how to schedule a campus visit including virtual tour options.,https://www.olivet.edu/visit,,
Admissions & Aid,Pay My Deposit,Instructions for submitting your enrollment deposit online to secure your place at ONU.,https://www.olivet.edu/pay-deposit,,
Admissions & Aid,File the FAFSA,Guidance on filing the Free Application for Federal Student Aid (FAFSA) to determine your eligibility for federal financial aid.,https://www.olivet.edu/file-fafsa,,
Life at Olivet,Housing & Dining,Details about on-campus housing options,including dormitories and apartment-style living,and dining services with various meal plans.,https://www.olivet.edu/life
Life at Olivet,Dormitories,"Dormitory options include Chapman Hall, Hills Hall, Grand Apartments, and Parrott Hall. Each dormitory offers different amenities and community environments.",https://www.olivet.edu/dormitories,,
Life at Olivet,Apartment-Style Living,"Apartment-style living options include Grand Apartments, which offer more independent living environments with kitchens and private bathrooms.",https://www.olivet.edu/apartments,,
Life at Olivet,Meal Plans,"Meal plan options include 21 meals per week, 14 meals per week, and 7 meals per week. Each plan provides access to various dining facilities on campus.",https://www.olivet.edu/meal-plans,,
Life at Olivet,Athletics,Overview of athletic programs and facilities including intramural sports,club sports,and varsity teams.,https://www.olivet.edu/athletics
Life at Olivet,Varsity Teams,"Varsity sports include men's and women's basketball, soccer, track and field, cross country, swimming, tennis, golf, and volleyball.",https://www.olivet.edu/varsity-teams,,
Life at Olivet,Intramural Sports,"Intramural sports include flag football, basketball, soccer, and ultimate frisbee, allowing students to participate in organized sports at a recreational level.",https://www.olivet.edu/intramural-sports,,
Life at Olivet,Recreation & Clubs,Information about student clubs,organizations,and recreational activities available on campus.,https://www.olivet.edu/recreation
Life at Olivet,Student Clubs,"Student clubs include the Biology Club, Business Club, Computer Science Club, Debate Club, Drama Club, Environmental Club, International Club, and many more.",https://www.olivet.edu/student-clubs,,
Life at Olivet,Spiritual Life,"Spiritual life at ONU includes regular chapel services, student ministries, and the Shalom Project which focuses on community service and outreach.",https://www.olivet.edu/spiritual-life,,
Life at Olivet,Chapel Services,Chapel services are held three times a week and are a central part of the spiritual life at ONU. Attendance is required for all students.,https://www.olivet.edu/chapel-services,,
Life at Olivet,Student Ministries,"Student ministries include outreach programs, mission trips, and local community service projects.",https://www.olivet.edu/student-ministries,,
